category_id,category_label_fr,item_id,item_label_fr,item_label_en,item_label_nl,route,component,item_type,feature_gate,role_gate,scope_status,main_dependencies,subfeatures
dashboard,Dashboard,dashboard,Tableau de bord,Dashboard,Dashboard,/app,Dashboard,direct,none,authenticated,multi-company,"useInvoices;useTimesheets;useProjects;useClients;useExpenses;useCashFlow","KPI globaux;exports;widgets pilotage"
pilotage,Pilotage,pilotage,Pilotage,Business Steering,Sturing,/app/pilotage,PilotagePage,direct,none,authenticated,multi-company,"usePilotageData","6 onglets: overview;accounting;financial;taxValuation;simulator;aiAudit"
portfolio,Portefeuille sociétés,company_portfolio,Portefeuille sociétés,Company Portfolio,Bedrijfsportefeuille,/app/portfolio,PortfolioPage,direct,none,authenticated,multi-company-consolidated,"useCompany;supabase(invoices,payments,projects,quotes)","consolidation portefeuille;watchlist retards;priorités"
peppol,Peppol,peppol,Peppol,Peppol,Peppol,/app/peppol,PeppolPage,direct,none,authenticated,mixed-user-plus-company-filter,"useCompany;useCompanyScope;usePeppolSend;usePeppolCheck;exportUBL","outbound;inbound;logs;paramétrage;check registration"
sales,Ventes,clients,Clients,Clients,Klanten,/app/clients,ClientsPage,subcategory,none,authenticated,multi-company,ClientManager,"CRUD clients;contacts;relation client"
sales,Ventes,invoices,Factures,Invoices,Facturen,/app/invoices,InvoicesPage,subcategory,none,authenticated,multi-company,"useInvoices;useClients;useCompany;useEmailService","list;calendar;agenda;kanban;export;emails"
sales,Ventes,quotes,Devis,Quotes,Offertes,/app/quotes,QuotesPage,subcategory,none,authenticated,multi-company,"useQuotes;useClients;useCompany","workflow devis;signature;list/calendar/agenda/kanban;export"
sales,Ventes,expenses,Dépenses,Expenses,Uitgaven,/app/expenses,ExpensesPage,subcategory,none,authenticated,multi-company,"useExpenses;useCompany","saisie dépenses;list/calendar/agenda;export"
sales,Ventes,recurring_invoices,Factures Récurrentes,Recurring Invoices,Terugkerende Facturen,/app/recurring-invoices,RecurringInvoicesPage,subcategory,none,authenticated,multi-company,"useRecurringInvoices;usePaymentReminders;useClients","plans récurrents;rappels de paiement"
sales,Ventes,credit_notes,Notes de Crédit,Credit Notes,Creditnota's,/app/credit-notes,CreditNotesPage,subcategory,none,authenticated,multi-company,"useCreditNotes;useInvoices;useClients;useCompany","avoirs;list/calendar/agenda/kanban;export"
sales,Ventes,delivery_notes,Bons de livraison,Delivery Notes,Leveringsbonnen,/app/delivery-notes,DeliveryNotesPage,subcategory,none,authenticated,multi-company,"useDeliveryNotes;useInvoices;useClients;useCompany","bons de livraison;list/calendar/agenda/kanban;export"
sales,Ventes,debt_manager,Créances & Dettes,Receivables & Debts,Vorderingen & Schulden,/app/debt-manager,DebtManagerPage,subcategory,none,authenticated,multi-company,"useReceivables;usePayables;useCompany","dashboard;receivables;payables;calendar;agenda;kanban"
sales,Ventes,purchase_orders,Bons de commande,Purchase Orders,Inkooporders,/app/purchase-orders,PurchaseOrdersPage,subcategory,none,authenticated,multi-company,"usePurchaseOrders;useClients;useCompany","commandes;list/calendar/agenda/kanban;export"
finance,Finance,cash_flow,Trésorerie,Cash Flow,Kasstroom,/app/cash-flow,CashFlowPage,subcategory,none,authenticated,multi-company,useCashFlow,"historique;forecast;KPI entrants/sortants/net"
finance,Finance,bank_connections,Connexions Bancaires,Bank Connections,Bankverbindingen,/app/bank-connections,BankConnectionsPage,subcategory,none,authenticated,multi-company,"useBankConnections;useCompany","liaison banque;sync;soldes;statuts"
finance,Finance,accounting,Comptabilité,Accounting,Boekhouding,/app/suppliers/accounting,AccountingIntegration,subcategory,bank.reconciliation(tab),authenticated,multi-company,"useAccountingData;useAccountingInit;useCompany","dashboard comptable;bilan;P&L;TVA;impôt;immobilisations;analytique;exports"
finance,Finance,audit_comptable,Audit Comptable,Accounting Audit,Boekhoudaudit,/app/audit-comptable,AuditComptable,subcategory,none,authenticated,multi-company,useAuditComptable,"audit auto;score;anomalies;recommandations;export JSON"
finance,Finance,scenarios,Simulations Financières,Financial Simulations,Financiële simulaties,/app/scenarios,ScenarioBuilder,subcategory,scenarios.financial(Pro),authenticated,multi-company,"useFinancialScenarios;useCompany","templates;hypothèses;projections;comparaison"
suppliers,Gestion des fournisseurs,purchases,Achats Fournisseurs,Supplier Purchases,Aankopen,/app/purchases,PurchasesPage,subcategory,none,authenticated,multi-company,"useSupplierOrders;useSuppliers;useProducts;useStockAlerts;useCompanyScope","achats fournisseurs;impact stock;suivi commandes"
suppliers,Gestion des fournisseurs,supplier_invoices,Factures fournisseurs,Supplier Invoices,Leveranciersfacturen,/app/supplier-invoices,SupplierInvoicesPage,subcategory,none,authenticated,multi-company,"useCompany;useCompanyScope","gestion factures fournisseurs;KPIs;workflow"
suppliers,Gestion des fournisseurs,suppliers,Fournisseurs,Suppliers,Leveranciers,/app/suppliers,SuppliersPage,subcategory,none,authenticated,multi-company,"useSuppliers","référentiel fournisseurs;CRUD"
suppliers,Gestion des fournisseurs,suppliers_map,Vue carte,Map View,Kaartweergave,/app/suppliers/map,SupplierMap,subcategory,none,authenticated,multi-company,useGeolocation,"cartographie fournisseurs;géolocalisation"
suppliers,Gestion des fournisseurs,supplier_reports,Rapports,Reports,Rapporten,/app/suppliers/reports,SupplierReports,subcategory,none,authenticated,multi-company,"useSupplierReports;useCompany","rapports spending/orders/delivery;exports"
catalog,Catalogue,products,Produits,Products,Producten,/app/stock,StockManagement,subcategory,none,authenticated,multi-company,"useStockAlerts;useStockHistory;useProducts;useProductCategories;useCompany","cockpit stock;inventaire;historique;ajustements"
catalog,Catalogue,services,Services,Services,Diensten,/app/services,ServicesPage,subcategory,none,authenticated,multi-company,"useServices;useServiceCategories;useCompany","catalogue services;catégories"
catalog,Catalogue,categories,Catégories,Categories,Categorieën,/app/categories,CategoriesPage,subcategory,none,authenticated,multi-company,"useProductCategories;useProducts;useServiceCategories;useServices","catégories produits/services"
catalog,Catalogue,scanner,Scanner,Scanner,Scanner,/app/products/barcode,BarcodeScanner,subcategory,none,authenticated,multi-company,useBarcodeScanner,"scan code-barres;lookup produit"
management,Gestion,projects,Projets,Projects,Projecten,/app/projects,ProjectsPage,subcategory,none,authenticated,multi-company,"useProjects;useClients;useCompany","list/calendar/agenda/kanban;détail projet"
management,Gestion,timesheets,Feuilles de temps,Timesheets,Urenstaten,/app/timesheets,TimesheetsPage,subcategory,none,authenticated,multi-company,"useTimesheets;useCompany","calendar/list/kanban/agenda;valorisation temps"
management,Gestion,reports,Rapports,Reports,Rapporten,/app/reports/generator,ReportGenerator,subcategory,none,authenticated,multi-company,"useCreditsGuard;useCompany;exportReports;pdfExportRuntime","génération rapports;export PDF/HTML"
management,Gestion,analytics,Analytique,Analytics,Analyses,/app/analytics,AnalyticsPage,subcategory,analytics.reports(Pro),authenticated,multi-company,"useInvoices;useTimesheets;useExpenses;useCompany","dashboards analytiques;exports"
settings,Paramètres,integrations,Intégrations,Integrations,Integraties,/app/integrations,IntegrationsHubPage,subcategory,none,authenticated,mixed-user-and-company,ConnectionSettings,"hub API/AI/webhooks;liens rapides automation"
settings,Paramètres,webhooks,API & Webhooks,API & Webhooks,API & webhooks,/app/webhooks,WebhooksPage,subcategory,developer.webhooks(Business),authenticated,user-level,useWebhooks,"endpoints;secrets;tests;logs"
settings,Paramètres,security,Sécurité,Security,Beveiliging,/app/security,SecuritySettings,subcategory,none,authenticated,user-level,SecuritySettings,"sécurité compte;protection accès"
settings,Paramètres,settings,Paramètres,Settings,Instellingen,/app/settings,SettingsPage,subcategory,organization.team(Enterprise tab),authenticated,mixed-user-and-company,"useEntitlements;ProfileSettings;CompanySettings;ConnectionSettings;PeppolSettings","profil;société;facturation;équipe;notifications;sync;connexions API & MCP;RGPD"
admin,Administration,admin,Administration,Admin,Beheer,/admin,AdminPage,subcategory,none,isAdmin,admin-global,AdminRoute,"console administration"
