menu;module;route;description_module;onglet;description_onglet
Pilotage global;Dashboard;/app;Vue d ensemble business avec actions rapides.;;
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;overview;Synthese executive.
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;accounting;Vue comptable consolidee.
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;financial;KPIs financiers et tendances.
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;taxValuation;Valorisation et fiscalite.
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;simulator;Simulation de scenarios.
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;aiAudit;Audit assiste par IA.
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;dataAvailability;Disponibilite et qualite des donnees.
Pilotage global;Pilotage;/app/pilotage;Cockpit de pilotage transversal finance/compta/fiscal/IA.;analytics;Acces aux rapports avances.
Pilotage global;CFO Agent;/app/cfo-agent;Assistant financier IA (insights, alertes, recommandations).;;
Pilotage global;Analytics;/app/analytics;Analytique avancee, graphiques, watchlists, exports.;;
Mon Entreprise;Cockpit Conformite & Groupe;/app/company-compliance-cockpit;Vue centrale conformite multi-entites.;;
Mon Entreprise;Portfolio societes;/app/portfolio;Suivi des societes du portefeuille, priorites, watchlist.;;
Mon Entreprise;Comptes bancaires (Instruments financiers);/app/financial-instruments;Gestion comptes, cartes, caisses et operations.;Comptes bancaires;CRUD comptes/IBAN/BIC, devise, soldes.
Mon Entreprise;Comptes bancaires (Instruments financiers);/app/financial-instruments;Gestion comptes, cartes, caisses et operations.;Cartes;Gestion cartes et plafonds.
Mon Entreprise;Comptes bancaires (Instruments financiers);/app/financial-instruments;Gestion comptes, cartes, caisses et operations.;Caisses;Gestion caisses physiques.
Mon Entreprise;Comptes bancaires (Instruments financiers);/app/financial-instruments;Gestion comptes, cartes, caisses et operations.;Statistiques;Agregats et vues de synthese.
Mon Entreprise;Comptes bancaires (Instruments financiers);/app/financial-instruments;Gestion comptes, cartes, caisses et operations.;Transactions;Registre complet, import releve, export CSV, creation/edition.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Envoi;Factures sortantes Peppol, filtres et actions.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Reception;Factures entrantes et synchronisation.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Journal;Historique des transmissions et evenements.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Configuration;Parametres AP/Scrada et import UBL externe.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Envoi > Liste;Table de suivi detaillee.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Envoi > Calendrier;Vision temporelle des emissions.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Envoi > Agenda;Lecture chronologique des emissions.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Envoi > Kanban;Suivi visuel par statut.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Reception > Liste;Table des factures entrantes.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Reception > Calendrier;Vision temporelle des receptions.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Reception > Agenda;Lecture chronologique des receptions.
Mon Entreprise;Peppol;/app/peppol;E-invoicing reseau Peppol avec politique de credits et verification Peppol ID.;Reception > Kanban;Suivi visuel des statuts entrants.
Mon Entreprise;PDP / Certification;/app/pdp-compliance;Certification, audit trail, archives conformite.;audit;Evenements et tracabilite.
Mon Entreprise;PDP / Certification;/app/pdp-compliance;Certification, audit trail, archives conformite.;archives;Archivage et indicateurs.
Mon Entreprise;Inter-societes;/app/inter-company;Flux intra-groupe, pricing et eliminations.;links;Liens entre societes.
Mon Entreprise;Inter-societes;/app/inter-company;Flux intra-groupe, pricing et eliminations.;transactions;Flux interco.
